case,solver,setting,unit,relative_l2,vector_rmse,max_vector_difference,elapsed_s
gravity_sloping_polygon_orbital,gauss_legendre,order_32,mgal,1.8038872716010815e-15,1.6719260446250256e-14,3.4310023110106684e-14,0.019252500031143427
gravity_sloping_polygon_orbital,gauss_legendre,order_64,mgal,1.0951052238610582e-15,1.0149941042342044e-14,1.855102611454866e-14,0.06070704205194488
gravity_sloping_polygon_orbital,gauss_legendre,order_8_panels_4,mgal,2.8082571841862215e-15,2.6028224713171524e-14,4.641582096618738e-14,0.020093833038117737
gravity_sloping_polygon_orbital,direct,refine_1,mgal,0.0032369241957069307,0.030001308576648903,0.050790610236127985,0.013265083020087332
gravity_sloping_polygon_orbital,direct,refine_2,mgal,0.0008206596949579053,0.007606253114455028,0.01274930360544399,0.013146083045285195
gravity_sloping_polygon_orbital,direct,refine_4,mgal,0.0002628798782653999,0.002436492135618187,0.004404811924639649,0.013414583983831108
gravity_sloping_polygon_orbital,spectral,degree_4,mgal,0.9934941652354047,9.208162816991164,15.174784537200047,0.04654341598507017
gravity_sloping_polygon_orbital,spectral,degree_8,mgal,0.980620941989489,9.088847837823895,15.018559570340612,0.049849624978378415
gravity_sloping_polygon_orbital,spectral,degree_12,mgal,0.9667111353917046,8.959925325355078,14.853407759357975,0.06831841700477526
gravity_sloping_polygon_orbital,spectral,degree_24,mgal,0.953435184146206,8.836877677068163,13.073189191406556,1.0635386659996584
magnetic_block_far,gauss_legendre,order_4,nt,2.0235428082043443e-15,2.0462493412740923e-19,2.1905261181403524e-19,0.014792374975513667
magnetic_block_far,gauss_legendre,order_8,nt,2.4447708361848627e-15,2.4722040437328895e-19,2.620276947483189e-19,0.013302708975970745
magnetic_block_far,gauss_legendre,order_16,nt,1.4077048279184547e-15,1.4235009336879882e-19,1.5306707992676776e-19,0.013102833996526897
magnetic_block_far,gauss_legendre,order_32,nt,4.566009331746382e-17,4.617245333014909e-21,1.5152185993940876e-20,0.016379375010728836
magnetic_block_far,gauss_legendre,order_64,nt,6.902825352776836e-16,6.980283181448426e-20,8.159701876572675e-20,0.044872916012536734
magnetic_block_far,gauss_legendre,order_8_panels_4,nt,2.515557363322148e-15,2.543784879057191e-19,2.649683694571567e-19,0.017063790990505368
